DATE,CODE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,VIX,FFR,SPX,OIL,CCY,STX,INF,UNE,IP,RSP,ROI,RFX,RSX,USTP1,USTP2,USTP3,USTP4,USTP5,USTP6,USTP7,USTP8,USTP9,USTP10
732889,223,0.70707,1.217,1.6222,1.9592,2.2473,2.4975,2.7173,2.9116,3.0843,3.2384,14.95,5.31,1276.66,74.4,2.177,37077.12,3.97,NaN,3.6,NaN,NaN,NaN,NaN,-0.083514,-0.16083,-0.18377,-0.16443,-0.11409,-0.042295,0.043161,0.13618,0.23209,0.32743
732920,223,0.69692,1.2247,1.6399,1.9853,2.2827,2.544,2.7765,2.9849,3.1729,3.343,12.31,5.31,1303.82,70.26,2.145,36232.22,3.84,NaN,3.1,2.1051,-5.7253,-1.4808,-2.3051,-0.1867,-0.32569,-0.35982,-0.33182,-0.26814,-0.18504,-0.092509,0.0033173,0.098692,0.19137
732949,223,0.74234,1.2854,1.6909,1.9951,2.2154,2.3617,2.4401,2.455,2.4096,2.3065,11.98,5.34,1335.85,62.91,2.169,36449.4,3.84,NaN,3.1,2.4269,-11.0498,1.1127,0.59762,-0.19199,-0.34168,-0.3869,-0.36815,-0.31142,-0.23323,-0.14405,-0.050489,0.043309,0.13478
732981,223,0.76996,1.2871,1.6523,1.9111,2.0843,2.1836,2.2158,2.1859,2.0972,1.9522,11.1,5.31,1377.94,58.73,2.1418,39262.79,3.26,NaN,4,3.1022,-6.8754,-1.262,7.4352,-0.19479,-0.3508,-0.40324,-0.39133,-0.34059,-0.26743,-0.18235,-0.092098,-0.00094694,0.088424
733011,223,0.38766,0.84139,1.2012,1.4901,1.7302,1.9349,2.1126,2.2691,2.408,2.5323,10.91,5.31,1400.63,63.13,2.1649,41931.84,3.02,NaN,3.7,1.6333,7.2245,1.0728,6.5768,-0.2167,-0.39847,-0.47122,-0.47424,-0.43383,-0.36744,-0.28653,-0.19864,-0.1087,-0.01986
733040,223,0.5469,0.89739,1.1681,1.4024,1.6234,1.8438,2.0708,2.3086,2.5601,2.8269,11.56,5.17,1418.3,61.05,2.1364,44473.71,3.02,NaN,3.7,1.2537,-3.3503,-1.3252,5.8853,-0.13581,-0.25974,-0.31176,-0.31208,-0.27637,-0.21652,-0.14139,-0.057543,0.030183,0.1183
733073,223,0.94238,1.3667,1.5965,1.7743,1.9279,2.0643,2.1865,2.2967,2.3963,2.4866,10.42,5.33,1438.24,58.14,2.1229,44641.6,2.99,NaN,4,1.3961,-4.8839,-0.63391,0.37679,-0.090676,-0.17803,-0.21443,-0.21216,-0.18149,-0.13066,-0.066133,0.0070586,0.085028,0.16481
733101,223,0.52953,0.86903,1.1208,1.3255,1.5028,1.6626,1.8101,1.9477,2.0772,2.1992,15.42,5.41,1406.82,61.79,2.1205,43892.31,3.02,NaN,3,-2.2088,6.0888,-0.11312,-1.6927,-0.20956,-0.37607,-0.43096,-0.4164,-0.36002,-0.27966,-0.18684,-0.08895,0.0093264,0.10505
733131,223,0.55642,0.91576,1.1684,1.359,1.5107,1.6361,1.7424,1.8344,1.9149,1.9862,14.64,5.3,1420.86,65.87,2.0594,45804.66,3.02,NaN,3,0.99305,6.3942,-2.9237,4.2647,-0.22284,-0.38438,-0.41984,-0.38041,-0.29815,-0.19298,-0.077262,0.041365,0.15823,0.27056
733162,223,0.49477,0.69817,0.84042,0.956,1.0569,1.1472,1.2286,1.3017,1.3674,1.4263,14.22,5.29,1482.37,65.71,2.0345,48956.39,3,NaN,5.8,4.238,-0.2432,-1.2165,6.6544,-0.25482,-0.43537,-0.47551,-0.43564,-0.35173,-0.24517,-0.12869,-0.0098815,0.10678,0.21872
733193,223,0.57624,0.78229,0.86627,0.90204,0.9236,0.94719,0.98052,1.0271,1.0882,1.1639,13.05,5.28,1530.62,64.01,1.9246,52268.46,3.18,NaN,4.8,3.2031,-2.6212,-5.5532,6.5463,-0.025674,-0.07564,-0.10394,-0.10242,-0.072694,-0.02025,0.048534,0.12771,0.21229,0.29834
733222,223,0.7891,1.1669,1.312,1.3792,1.4194,1.4492,1.4741,1.4961,1.5158,1.5337,16.23,5.31,1503.35,70.68,1.929,54392.06,3.18,NaN,4.8,-1.7977,9.9123,0.22836,3.9825,-0.037654,-0.061359,-0.043191,0.0056826,0.075824,0.15965,0.25123,0.34601,0.44056,0.53239
733254,223,0.46944,0.76853,0.97846,1.1388,1.2693,1.3803,1.477,1.5627,1.6394,1.7083,23.52,5.28,1455.28,78.21,1.8825,54182.5,3.74,NaN,6.5,-3.2498,10.1235,-2.4401,-0.38602,-0.23018,-0.35025,-0.32722,-0.23417,-0.10961,0.02613,0.16231,0.29335,0.41646,0.53041
733285,223,0.42899,0.78385,1.055,1.2701,1.4451,1.5891,1.7074,1.8032,1.8786,1.9348,23.38,4.96,1473.99,74.04,1.9619,54637.24,4.18,NaN,6.5,1.2775,-5.4792,4.1313,0.83577,-0.12615,-0.197,-0.16986,-0.07996,0.047197,0.19353,0.34651,0.49771,0.64173,0.7753
733313,223,0.41472,0.74757,1.0034,1.2118,1.3902,1.5485,1.6924,1.8254,1.9499,2.0672,18,4.58,1526.75,81.66,1.8336,60465.06,4.18,NaN,6.5,3.5168,9.7959,-6.7632,10.135,-0.080718,-0.088292,-0.0030648,0.13596,0.30193,0.4769,0.64931,0.81211,0.96135,1.0952
733346,223,0.44471,0.82015,1.1237,1.3799,1.6034,1.8029,1.9834,2.1481,2.2993,2.4386,18.53,4.6,1549.38,94.53,1.736,65317.7,4.12,NaN,10.6,1.4714,14.6353,-5.4698,7.7197,-0.13234,-0.18054,-0.11336,0.019195,0.18386,0.35921,0.53203,0.69467,0.84318,0.976
733376,223,0.38587,0.81042,1.1774,1.4944,1.7694,2.0077,2.2127,2.3868,2.5315,2.648,22.87,4.66,1481.14,88.71,1.7924,63006.16,4.19,NaN,6.8,-4.5043,-6.3545,3.1972,-3.6031,-0.23689,-0.29828,-0.16253,0.069099,0.33591,0.60329,0.85297,1.0766,1.2718,1.4392
733407,223,0.40208,0.79982,1.1362,1.4265,1.6824,1.911,2.1171,2.3037,2.4731,2.627,22.5,3.06,1468.36,95.98,1.78,63886.1,4.46,NaN,6.5,-0.86659,7.8767,-0.69421,1.3869,-0.25887,-0.33165,-0.19088,0.055776,0.34293,0.63267,0.90449,1.1487,1.3619,1.5445
733438,223,0.35714,0.81774,1.2636,1.668,2.0251,2.3368,2.6075,2.8428,3.0477,3.227,26.2,3.22,1378.55,91.75,1.7592,59490.4,4.56,NaN,8.9,-6.3114,-4.5072,-1.1754,-7.1287,-0.10208,-0.017394,0.22277,0.53332,0.8647,1.189,1.4915,1.7653,2.0078,2.2193
733467,223,0.053003,0.39623,0.84395,1.2569,1.6034,1.8862,2.1165,2.3057,2.4632,2.5961,26.54,3.01,1330.63,101.84,1.6907,63489.3,4.61,NaN,10.3,-3.538,10.4335,-3.9717,6.5056,-0.25812,-0.14432,0.21279,0.64147,1.0698,1.4694,1.8307,2.1519,2.4345,2.6814
733498,223,0.39263,0.75784,1.1103,1.446,1.7622,2.0569,2.3288,2.5778,2.8048,3.0108,25.61,2.51,1322.7,101.58,1.7519,60968.07,4.73,NaN,1.3,-0.59774,-0.25563,3.5558,-4.0521,0.043414,0.2331,0.51767,0.85311,1.2091,1.5644,1.905,2.2214,2.5083,2.7628
733528,223,0.58003,1.0766,1.4835,1.8226,2.1073,2.3462,2.5451,2.7083,2.8391,2.9403,20.79,2.37,1385.59,113.46,1.6629,67868.46,5.04,NaN,9.5,4.6451,11.0604,-5.2138,10.7221,0.21593,0.52111,0.82047,1.1074,1.3781,1.6301,1.8621,2.0734,2.2637,2.4334
733558,223,0.7168,0.99646,1.1383,1.2249,1.2955,1.3711,1.4636,1.5804,1.7264,1.905,17.83,1.98,1400.38,127.35,1.627,72592.5,5.04,NaN,9.5,1.0618,11.5489,-2.1825,6.729,0.26307,0.60451,0.91744,1.2021,1.4597,1.692,1.9004,2.0866,2.2522,2.3985
733589,223,0.68214,1.157,1.5049,1.7746,1.993,2.1755,2.332,2.4685,2.5894,2.6975,23.95,2.47,1280,140,1.6037,65017.58,6.06,NaN,6.6,-8.9884,9.4703,-1.4424,-11.0204,0.22147,0.51852,0.79944,1.0616,1.3039,1.526,1.728,1.9102,2.0733,2.2181
733620,223,1.0546,1.4879,1.6325,1.7022,1.7598,1.8202,1.8844,1.9503,2.0158,2.0795,22.94,2.09,1267.38,124.08,1.5654,59505.17,6.37,NaN,8.7,-0.99083,-12.0716,-2.4172,-8.8594,0.20092,0.48802,0.77422,1.0518,1.3159,1.5635,1.7925,2.0017,2.1906,2.3591
733649,223,0.57686,0.8044,0.99831,1.1765,1.3388,1.4855,1.6176,1.7365,1.8438,1.9409,20.65,1.94,1282.83,115.46,1.6315,55680.41,6.37,NaN,8.7,1.2117,-7.2002,4.1358,-6.6435,0.12662,0.35312,0.61408,0.88887,1.1634,1.428,1.6763,1.9042,2.1095,2.2914
733681,223,0.4126,0.77474,1.0872,1.3729,1.647,1.9187,2.1938,2.4758,2.7673,3.07,39.39,2.03,1166.36,100.64,1.9046,49541.27,6.25,NaN,9.1,-9.5181,-13.7374,15.4772,-11.6822,0.066538,0.31049,0.65919,1.0491,1.4404,1.8089,2.1415,2.4322,2.6795,2.8849
733712,223,0.32172,1.6065,2.8111,3.8137,4.5871,5.1382,5.4861,5.6541,5.6655,5.5426,59.89,0.22,968.75,67.81,2.159,37256.84,6.41,NaN,0.6,-18.5636,-39.484,12.5373,-28.4971,-0.12807,0.10186,0.62365,1.2729,1.9474,2.5871,3.1593,3.6496,4.0546,4.3777
733740,223,0.56514,0.94857,1.2431,1.4895,1.7096,1.9157,2.1152,2.313,2.5123,2.7154,55.28,0.52,896.24,54.43,2.3063,36595.87,6.41,NaN,0.6,-7.7798,-21.9794,6.5999,-1.79,-0.17871,-0.056551,0.32962,0.83841,1.381,1.904,2.3779,2.7885,3.1314,3.4083
733773,223,0.32255,0.57153,0.75737,0.91244,1.0562,1.1993,1.3479,1.5051,1.6731,1.8529,40,0.14,903.25,44.6,2.3145,37550.31,5.9,NaN,-14.6,0.77911,-19.9182,0.35492,2.5746,0.036303,0.2462,0.56142,0.92242,1.2902,1.64,1.9571,2.2337,2.4669,2.6567
733803,223,0.50306,0.69815,0.79414,0.85918,0.92786,1.0185,1.1413,1.3023,1.5052,1.7524,44.84,0.23,825.88,41.68,2.323,39300.79,5.9,NaN,-14.6,-8.955,-6.7712,0.36658,4.5563,0.1206,0.4286,0.82925,1.2683,1.7098,2.1304,2.5158,2.8578,3.153,3.4009
733831,223,0.26993,0.45415,0.61138,0.77717,0.97336,1.2119,1.4991,1.8382,2.2308,2.6775,46.35,0.22,735.09,44.76,2.3866,38183.31,5.84,NaN,-17,-11.6457,7.1293,2.701,-2.8846,0.085584,0.37085,0.76862,1.2139,1.6644,2.0933,2.4848,2.8304,3.1271,3.3749
733863,223,0.36564,0.66795,0.90048,1.0916,1.2587,1.4113,1.555,1.693,1.8274,1.9594,44.14,0.16,797.87,49.66,2.3228,40925.87,5.61,NaN,-9.4,8.1953,10.3885,-2.7096,6.9364,0.069694,0.29947,0.61707,0.97528,1.3427,1.6987,2.0303,2.33,2.5941,2.8216
733893,223,0.40309,1.0385,1.596,2.0465,2.3793,2.5901,2.677,2.6391,2.4761,2.1879,36.5,0.2,872.81,51.12,2.1904,47289.53,5.53,NaN,-14.1,8.9772,2.8976,-5.8689,14.4527,0.24893,0.64647,1.0647,1.4807,1.8797,2.2523,2.5928,2.898,3.1668,3.3993
733922,223,0.48208,0.79825,1.0092,1.1576,1.2657,1.3456,1.4038,1.4445,1.47,1.4821,28.92,0.19,919.14,66.31,1.9702,53197.73,5.53,NaN,-14.1,5.1721,26.0165,-10.5949,11.7727,0.23618,0.68037,1.188,1.7046,2.1972,2.6474,3.046,3.3902,3.6808,3.9213
733954,223,0.32353,0.93436,1.4841,1.9369,2.2799,2.5075,2.6171,2.6073,2.4776,2.2274,26.35,0.22,919.32,69.89,1.9518,51465.46,4.8,NaN,-10.7,0.019582,5.2582,-0.9383,-3.3105,0.34338,0.86692,1.3947,1.8922,2.3412,2.7341,3.0694,3.3497,3.5795,3.7643
