,(1),(2),(3),(4),(5),(6)
,,,,,,
log(Vix),0.20,,0.26,0.24,0.65***,0.10
,(0.35),,(0.24),(0.16),(0.21),(0.19)
FFR,0.07,,0.23**,0.13,0.22**,0.11
,(0.11),,(0.09),(0.09),(0.10),(0.10)
USTP10,1.49***,,,1.30***,,1.22***
,(0.20),,,(0.12),,(0.16)
S\&P,-0.00,,-0.00*,,,
,(0.00),,(0.00),,,
Oil,-0.01*,,0.00,,,
,(0.01),,(0.00),,,
INF,,0.26***,0.19***,0.19***,0.22***,0.21***
,,(0.05),(0.06),(0.05),(0.05),(0.05)
UNE,,0.21***,0.17**,0.13**,0.21***,0.13**
,,(0.07),(0.06),(0.05),(0.06),(0.05)
IP,,-0.01,-0.01,-0.02,-0.02,-0.02*
,,(0.01),(0.01),(0.01),(0.01),(0.01)
zCCY,,0.21*,0.41**,0.29**,,
,,(0.11),(0.15),(0.10),,
Stock Market,,-0.00**,-0.00,-0.00,,
,,(0.00),(0.00),(0.00),,
Return S\&P,,,,,0.00,-0.01
,,,,,(0.01),(0.01)
Return Oil,,,,,0.00,0.00
,,,,,(0.00),(0.00)
Return FX,,,,,0.02*,0.01
,,,,,(0.01),(0.01)
Return Stocks,,,,,0.00,0.00
,,,,,(0.01),(0.01)
Constant,2.01,-0.65,-0.44,-1.03,-3.18***,-0.73
,(1.66),(0.63),(1.41),(0.85),(0.93),(0.80)
,,,,,,
Observations,"2,407","1,969","1,969","1,969","1,969","1,969"
R-squared,0.32,0.32,0.39,0.53,0.34,0.49
Number of Countries,15,15,15,15,15,15
Country FE,YES,YES,YES,YES,YES,YES
"Robust standard errors in parentheses; *** p<0.01, ** p<0.05, * p<0.1.",,,,,,
